bodyId,instance,type
326817510,ADL24a_pct(ADL24)_R,ADL24a_pct
295814565,PDM08q_d_pct(PDM08)_R,PDM08q_d_pct
5813055798,ADL04r_pct(ADL04)_R,ADL04r_pct
357505462,ADL23f_pct(ADL23)_R,ADL23f_pct
294795963,(PDL14)_L,
265124786,ADL07u_pct(ADL07)_R,ADL07u_pct
5813069636,ADL07of_pct(ADL07)_R,ADL07of_pct
295133015,PDM18g_pct(PDM18)_R,PDM18g_pct
603095061,PDL10h_pct(PDL10)_R,PDL10h_pct
264822904,PDM18g_pct(PDM18)_R,PDM18g_pct
326124243,PDL13p_pct(PDL13)_R,PDL13p_pct
5813009352,ADL20h_c_pct(ADL20)_R,ADL20h_c_pct
295805243,PDL23d_pct(PDL23)_R,PDL23d_pct
5901196319,PVL04p_c_pct(PVL04)_R,PVL04p_c_pct
851459972,5HT1,AVM03p
885607728,FB07m_L,FB7H
235985275,FB08k_L,FB8F
631888269,(PDM05)_L,
295473813,FB09f(AVM08)_R,SA3
388553520,ADL07of_pct(ADL07)_R,ADL07of_pct
511349908,PDL05oi_pct(PDL05)_R,PDL05oi_pct
885599043,FB08a(PDL05)_R,FB7L
5813020698,FB07d(PDL05)_R,FB7D
360596183,PDL10g_h_pct(PDL10)_R,PDL10g_h_pct
294441510,PDL17s_b_pct(PDL17)_R,PDL17s_b_pct
295474876,SA1_b(AVM08)_R,SA1_b
359183551,PDL17c_b_pct(PDL17)_R,PDL17c_b_pct
295461302,PDL11v_pct(PDL11)_R,PDL11v_pct
5813009346,PDL06c_pct(PDL06)_R,PDL06c_pct
295802733,PDM07r_pct(PDM07)_R,PDM07r_pct
5813067326,PDL17s_a_pct(PDL17)_R,PDL17s_a_pct
696489026,PDL14k_pct(PDL14)_R,PDL14k_pct
5813010495,PDL10g_a_pct(PDL10)_R,PDL10g_a_pct
294445804,ADL24b_pct(ADL24)_R,ADL24b_pct
5813010541,PDL14s_pct(PDL14)_R,PDL14s_pct
326817565,PDL10g_i_pct(PDL10)_R,PDL10g_i_pct
295482551,ADL20b_pct(ADL20)_R,ADL20b_pct
295482646,AVM07t_pct(AVM07)_R,AVM07t_pct
357932060,PDM05j_e_pct(PDM05)_R,PDM05j_e_pct
295780154,ADL10h_pct(ADL10)_R,ADL10h_pct
418607328,PDM10ol_pct(PDM10)_R,PDM10ol_pct
5813069331,FB06c_L,FB6C_a
5812980884,PDM07u_pct(PDM07)_R,PDM07u_pct
265120324,PDL19h_pct(PDL19)_R,PDL19h_pct
356823065,PDL19oa_pct(PDL19)_R,PDL19oa_pct
327877252,PDL07s_pct(PDL07)_R,PDL07s_pct
295473947,PDL20x_pct(PDL20)_R,PDL20x_pct
391618398,PDM20c_b_pct(PDM20)_R,PDM20c_b_pct
480599285,ADL10p_pct(ADL10)_R,ADL10p_pct
295823782,FQ12_b_C6_L,FQ12_b
5813039877,ADL07oj_pct(ADL07)_R,ADL07oj_pct
295819998,PDM18a_b_pct(PDM18)_R,PDM18a_b_pct
295793991,PDM12a_pct(PDM12)_R,PDM12a_pct
327229641,PDM05j_a_pct(PDM05)_R,PDM05j_a_pct
294782488,PDL10g_d_pct(PDL10)_R,PDL10g_d_pct
5813008771,mlPN2(AVM04)_R,olfactory multi vPN mlALT
5813077567,PDM18a_b_pct(PDM18)_R,PDM18a_b_pct
576260070,PDM05j_e_pct(PDM05)_R,PDM05j_e_pct
294799968,PDM18a_d_pct(PDM18)_R,PDM18a_d_pct
296160764,FB08k(AVM10)_R,FB8F
297713859,(PDM05)_L,
886280616,FB09e(AVM10)_R,FB9B_b
5901195361,PDL07s_pct(PDL07)_R,PDL07s_pct
265120223,PDL19h_pct(PDL19)_R,PDL19h_pct
265120467,PDM18g_pct(PDM18)_R,PDM18g_pct
5813009416,AVM07t_pct(AVM07)_R,AVM07t_pct
295814932,ADL23f_pct(ADL23)_R,ADL23f_pct
295133743,PDM18g_pct(PDM18)_R,PDM18g_pct
295133778,PDM18g_pct(PDM18)_R,PDM18g_pct
449568880,PDL10g_i_pct(PDL10)_R,PDL10g_i_pct
295814630,ADL02h_c_pct(ADL02)_R,ADL02h_c_pct
294760837,PDL14t_pct(PDL14)_R,PDL14t_pct
326128466,PDL17w_pct(PDL17)_R,PDL17w_pct
418585726,ADL07y_pct(ADL07)_R,ADL07y_pct
5813009260,PDM18g_pct(PDM18)_R,PDM18g_pct
294428266,PDL20ola_pct(PDL20)_R,PDL20ola_pct
294432760,PDL17s_a_pct(PDL17)_R,PDL17s_a_pct
295819960,SA1_a(AVM08)_R,SA1_a
296155122,FB08i(PDM25)_R,FB7F_b
294450495,SA1_a(AVM08)_R,SA1_a
356494648,PDL17e_pct(PDL17)_R,PDL17e_pct
295111734,PDL06c_pct(PDL06)_R,PDL06c_pct
5813008848,PDM18g_pct(PDM18)_R,PDM18g_pct
886285039,FB09c_L,FB9B_d
5813047422,(aDT6e)(MBDLaxon2),
5813019607,PPL106(a3)(PDL05)_L,PPL106
886635309,FB09a_L,FB9A
5813025982,ON_007,ON
916987393,FQ12_b_C7_R,FQ12_b
203598557,FQ12_b_C8_R,FQ12_b
948683239,FQ12_b_C5_R,FQ12_b
885599283,FQ12_b_C5_R,FQ12_b
915610680,FQ12_a_C5_R,FQ12_a
1166592315,FQ12_b(AB)_C3_R,FQ12_b
234292899,FB08h_L,FB8E
1167235569,FQ12_b_C1_R,FQ12_b
387913933,FQ12_b_C2_L,FQ12_b
1072861316,FQ12_b_C7_R,FQ12_b
1227941128,FQ12_b(AB)_C2_R,FQ12_b
885598772,FQ12_a_C5_R,FQ12_a
297588995,PDM05j_c_pct(PDM05)_R,PDM05j_c_pct
296690817,FQ12_a_C6_R,FQ12_a
1073897808,FQ12_a_C8_R,FQ12_a
5813002689,FB01D_L,FB1D
5813071028,FB07b_L,FB7B_a
946978006,FB06h_L,FB6F
885602804,FB09a_L,FB9A
5813058368,FB07k_L,FB7B_b
266536576,FB06f(AVM10)_R,FB7J
296846109,ADL13d_pct(ADL13)_R,ADL13d_pct
296544262,ADL07q_pct(ADL07)_R,ADL07q_pct
297221971,ADL07olc_pct(ADL07)_R,ADL07olc_pct
5813046674,(PDM05)_L,
5813009972,(PDM05)_L,
236331138,FB06f_L,FB7J
5813010809,FB07h_L,FB7H
948346463,FB07d_L,FB7D
297588775,PDM15k_pct(PDM15)_R,PDM15k_pct
266191395,ADL16p_pct(ADL16)_R,ADL16p_pct
5813069498,FB08j(PDM25)_R,FB7F_b
267223027,PDL07j_pct(PDL07)_R,PDL07j_pct
266873389,PDL17oa_pct(PDL17)_R,PDL17oa_pct
327246931,AVM08oc_pct(AVM08)_R,AVM08oc_pct
266873591,PDM07f_b_pct(PDM07)_R,PDM07f_b_pct
915964590,FB06i_L,FB6G
236330337,FB06of_L,FB7G
5901195498,ADM07a_b_pct(ADM07)_R,ADM07a_b_pct
5813040707,PDL07j_pct(PDL07)_R,PDL07j_pct
328213824,PDM12a_pct(PDM12)_R,PDM12a_pct
297519947,ADL02i_b_pct(ADL02)_R,ADL02i_b_pct
359926731,ADL02oi_pct(ADL02)_R,ADL02oi_pct
266187383,PDM07f_b_pct(PDM07)_R,PDM07f_b_pct
297558862,ADL20f_pct(ADL20)_R,ADL20f_pct
1352077058,PVM02b_pct(PVM02)_R,PVM02b_pct
263475451,PDM24s_pct(PDM24)_R,PDM24s_pct
5813064828,PDM07f_a_pct(PDM07)_R,PDM07f_a_pct
296199026,PDM07om_pct(PDM07)_R,PDM07om_pct
299263690,PDM20c_a_pct(PDM20)_R,PDM20c_a_pct
297912117,PDL06d_pct(PDL06)_R,PDL06d_pct
297498027,PDM20c_a_pct(PDM20)_R,PDM20c_a_pct
296139882,ADM04ok_pct(ADM04)_R,ADM04ok_pct
5813039857,PDM07f_a_pct(PDM07)_R,PDM07f_a_pct
266528044,PDM07f_a_pct(PDM07)_R,PDM07f_a_pct
299082033,(PDL05)_L,
916292026,FB07b_L,FB7B_a
298542439,PDM20p_pct(PDM20)_R,PDM20p_pct
297917474,AVM13b_pct(AVM13)_R,AVM13b_pct
329211374,PDM20e_c_pct(PDM20)_R,PDM20e_c_pct
361981338,(ADM04)_L,
327937328,PVL04j_pct(PVL04)_R,PVL04j_pct
551669824,ADM04u_pct(ADM04)_R,ADM04u_pct
5813008911,PDM15g_e_pct(pMP3a)(PDM15)_R,PDM15g_e_pct
267223104,ADL09p_pct(ADL09)_R,ADL09p_pct
299609112,PDM20b_pct(PDM20)_R,PDM20b_pct
821621397,PDL08h_pct(PDL08)_R,PDL08h_pct
362007054,PDM20e_e_pct(PDM20)_R,PDM20e_e_pct
672960748,ADL16i_pct(ADL16)_R,ADL16i_pct
267551639,pC1c(PDM09)_R,pC1c
329936589,,
610113424,(PDM09)_L,
267896360,PDM07f_b_pct(PDM07)_R,PDM07f_b_pct
267564140,PDM20f_pct(PDM20)_R,PDM20f_pct
297917407,(MBDLaxon2),
298935146,ADL09c_c_pct(ADL09)_R,ADL09c_c_pct
5813061512,MBON06(B1>a)(AVM07)_R,MBON06
331662710,PPL106(a3)(PDL05)_R,PPL106
394225044,MBON14(a3)_L,MBON14
763435729,FQ12_b_C4_L,FQ12_b
5813108066,FQ12_b_C8_R,FQ12_b
329970706,PDL05n_pct(PDL05)_R,PDL05n_pct
5901221890,PDM20k_pct(PDM20)_R,PDM20k_pct
5813063216,PDM20u_pct(PDM20)_R,PDM20u_pct
327511994,PDM20e_b_pct(PDM20)_R,PDM20e_b_pct
298240936,PDM20f_pct(PDM20)_R,PDM20f_pct
5812980079,ADM07q_pct(ADM07)_R,ADM07q_pct
297908595,FB05g(AVM10)_R,FB5G
1140996390,PAM04(B2)(ADM02)_R,PAM04
328870472,PDM29d_pct(PDM29)_R,PDM29d_pct
5813016853,FQ12_b_C3_R,FQ12_b
638074940,FQ12_b_C8_R,FQ12_b
264986706,FQ12_b(AB)_C3_R,FQ12_b
1103576992,FQ12_a_C8_R,FQ12_a
5813058338,FB08f_L,FB8D
940791269,FQ12_b(AB)_C4_R,FQ12_b
1374390473,FQ12_a_C9_L,FQ12_a
388310363,,
5813009996,PDM20w_pct(PDM20)_R,PDM20w_pct
266187342,PDM07f_b_pct(PDM07)_R,PDM07f_b_pct
267227062,PDM20h_pct(PDM20)_R,PDM20h_pct
519275692,ADM04v_c_pct(ADM04)_R,ADM04v_c_pct
454001950,PVL04oa_pct(PVL04)_R,PVL04oa_pct
296544364,LNd(aSP7a)(ADL30)_R,LNd
268731005,,
5813019630,AVM13b_pct(AVM13)_R,AVM13b_pct
727182822,PDL14k_pct(PDL14)_R,PDL14k_pct
266691460,(PDM09)_L,
947664053,FB0108b_L,FB1I
329435390,PAM10(B1)(ADM02)_L,PAM10
5813061177,FB06a_L,FB6A
267214250,pC1b(PDM09)_R,pC1b
266873401,ADL09p_pct(ADL09)_R,ADL09p_pct
5813071027,FB06d_L,FB6C_b
418922937,PDL11a_b_pct(PDL11)_R,PDL11a_b_pct
420688241,ADM07n_pct(ADM07)_R,ADM07n_pct
299078990,FB07n_L,FB7I
5813010560,PDL06e_pct(PDL06)_R,PDL06e_pct
262504004,ON_005,ON
387943673,,
294450004,ADL14u_pct(ADL14)_R,ADL14u_pct
325446181,PDL13x_pct(PDL13)_R,PDL13x_pct
5813087551,PDL10g_d_pct(PDL10)_R,PDL10g_d_pct
1570685033,mlPN2(AVM04)_R,olfactory multi vPN mlALT
294432626,PDL13q_a_pct(PDL13)_R,PDL13q_a_pct
325791855,PDL13p_pct(PDL13)_R,PDL13p_pct
480923210,PDL10od_pct(PDL10)_R,PDL10od_pct
326496740,ADL07od_pct(ADL07)_R,ADL07od_pct
295443724,PDL13q_a_pct(PDL13)_R,PDL13q_a_pct
296143923,ADL09r_pct(ADL09)_R,ADL09r_pct
5813012083,ADL01w_a_pct(ADL01)_R,ADL01w_a_pct
294786630,PDL11t_pct(PDL11)_R,PDL11t_pct
325814784,ADL09r_pct(ADL09)_R,ADL09r_pct
295136668,PDM18a_d_pct(PDM18)_R,PDM18a_d_pct
295807109,PDL11v_pct(PDL11)_R,PDL11v_pct
5813035242,ADL15m_pct(ADL15)_R,ADL15m_pct
294773987,PDL10oh_pct(PDL10)_R,PDL10oh_pct
5813055734,PDL10g_d_pct(PDL10)_R,PDL10g_d_pct
297192193,ADL23f_pct(ADL23)_R,ADL23f_pct
327152465,ADL04c_pct(ADL04)_R,ADL04c_pct
5813039875,ADL07oj_pct(ADL07)_R,ADL07oj_pct
295124412,ADL07ok_pct(ADL07)_R,ADL07ok_pct
511966686,ADL01w_a_pct(ADL01)_R,ADL01w_a_pct
5813077562,PDL05e_pct(PDL05)_R,PDL05e_pct
449564064,PDL10g_c_pct(PDL10)_R,PDL10g_c_pct
294756576,PDL10g_f_pct(PDL10)_R,PDL10g_f_pct
297179343,ADL07v_pct(ADL07)_R,ADL07v_pct
5901211960,PDL17f_pct(PDL17)_R,PDL17f_pct
1158635682,ON_small,ON
295779879,PDL10g_g_pct(PDL10)_R,PDL10g_g_pct
573009633,PDL10h_pct(PDL10)_R,PDL10h_pct
387215056,PDL14p_pct(PDL14)_R,PDL14p_pct
5813134617,PDL10h_pct(PDL10)_R,PDL10h_pct
604039904,PDL10g_g_pct(PDL10)_R,PDL10g_g_pct
295456248,PDL11oe_pct(PDL11)_R,PDL11oe_pct
5813009356,PDL11v_pct(PDL11)_R,PDL11v_pct
5813067725,ADL23a_pct(ADL23)_R,ADL23a_pct
296156918,SA1_b(AVM08)_R,SA1_b
358264979,PDM18a_a_pct(PDM18)_R,PDM18a_a_pct
358197007,ADL02h_b_pct(ADL02)_R,ADL02h_b_pct
295127956,PDL10f_pct(PDL10)_R,PDL10f_pct
980391580,FB08b(PDL05)_R,FB8A
295119694,PDL11oe_pct(PDL11)_R,PDL11oe_pct
297196636,PDM10v_a_pct(PDM10)_R,PDM10v_a_pct
296496999,ADL20h_a_pct(ADL20)_R,ADL20h_a_pct
295477467,PDM18a_b_pct(PDM18)_R,PDM18a_b_pct
5813012782,PDL11i_pct(PDL11)_R,PDL11i_pct
326500709,ADL07v_pct(ADL07)_R,ADL07v_pct
294445931,PDL10g_g_pct(PDL10)_R,PDL10g_g_pct
325802256,PDL10g_b_pct(PDL10)_R,PDL10g_b_pct
449555517,PDL10g_h_pct(PDL10)_R,PDL10g_h_pct
294774719,PDL10g_e_pct(PDL10)_R,PDL10g_e_pct
295132551,PDM18a_b_pct(PDM18)_R,PDM18a_b_pct
295137515,PDM18a_a_pct(PDM18)_R,PDM18a_a_pct
295106899,ADL16h_pct(ADL16)_R,ADL16h_pct
295133452,FB09a(PDM25)_R,FB9A
451356082,FB09g(PDM25)_R,FB9C_a
357496172,ADL10h_pct(ADL10)_R,ADL10h_pct
295815100,PDM18a_c_pct(PDM18)_R,PDM18a_c_pct
295137392,PDM18j_pct(PDM18)_R,PDM18j_pct
325797575,PDL10g_f_pct(PDL10)_R,PDL10g_f_pct
356472660,PDM30i_pct(PDM30)_R,PDM30i_pct
5813047586,PDL13s_pct(PDL13)_R,PDL13s_pct
5813009324,SA3(AVM08)_R_bi,SA3
295132845,AVM07t_pct(AVM07)_R,AVM07t_pct
295137019,ADL20h_a_pct(ADL20)_R,ADL20h_a_pct
545748103,PDL13t_pct(PDL13)_R,PDL13t_pct
